scientific_name,common_name,status,inat_taxon_id
Impatiens glandulifera,Himalayan balsam,invasive,47892
Asclepias syriaca,common milkweed,invasive,47911
Lysichiton americanus,western skunk cabbage,invasive,48537
Miconia calvescens,velvet tree,invasive,48888
Cortaderia jubata,Purple Pampas Grass,invasive,52714
Elodea nuttallii,Nuttall's Waterweed,invasive,57623
Azolla filiculoides,water fern,invasive,58754
Myriophyllum aquaticum,Parrot's feather,invasive,60202
Ludwigia peploides,floating primrose-willow,invasive,60220
Hydrocotyle ranunculoides,floating marsh pennywort,invasive,60951
Pueraria montana lobata,Kudzu Bean,invasive,62666
Cortaderia selloana,Pampas Grass,invasive,64240
Ludwigia hexapetala,water primrose,invasive,70020
Acacia saligna,golden wreath wattle,invasive,75255
Alternanthera philoxeroides,Alligatorweed,invasive,75386
Cabomba caroliniana,Carolina Fanwort,invasive,75921
Gunnera tinctoria,Chilean rhubarb,invasive,77310
Salvinia molesta,Giant Salvinia,invasive,78976
Solanum elaeagnifolium,silverleaf nightshade,invasive,79137
Triadica sebifera,Chinese Tallow,invasive,79388
Baccharis halimifolia,groundsel tree,invasive,84813
Microstegium vimineum,Japanese stiltgrass,invasive,116710
Persicaria perfoliata,mile-a-minute weed,invasive,131249
Cardiospermum grandiflorum,Showy Balloon Vine,invasive,159852
Lespedeza cuneata,Chinese bushclover,invasive,164566
Myriophyllum heterophyllum,Broadleaf Water-milfoil,invasive,165603
Lagarosiphon major,Curly Waterweed,invasive,208800
Cenchrus setaceus,Fountain Grass,invasive,430581
Humulus scandens,Japanese Hops,invasive,474366
Pontederia crassipes,common water hyacinth,invasive,962637
Acer pseudoplatanus,Acer ser. Acer,invasive,1466281
Neltuma velutina,velvet mesquite,invasive,1493168
Heracleum mantegazzianum,Giant Hogweed Complex,invasive,1557658
Anatherum virginicum,Broomsedge Species Complex,invasive,1619462
