scientific_name,common_name,status,inat_taxon_id
Lysichiton americanus,American skunk cabbage,widely spread,48537
Gunnera tinctoria,Chilean rhubarb,widely spread,77310
Lagarosiphon major,Curly waterweed,widely spread,208800
Hydrocotyle ranunculoides,Floating pennywort,widely spread,60951
Heracleum mantegazzianum,Giant hogweed,widely spread,1557658
Impatiens glandulifera,Himalayan balsam,widely spread,47892
Elodea nuttallii,Nuttall’s waterweed,widely spread,57623
Myriophyllum aquaticum,Parrot’s feather,widely spread,60202
Alternanthera philoxeroides,Alligator weed,non-widely spread,75386
Persicaria perfoliata,Asiatic tearthumb,non-widely spread,131249
Cardiospermum grandiflorum,Balloon vine,non-widely spread,159852
Myriophyllum heterophyllum,Broadleaf watermilfoil,non-widely spread,165603
Andropogon virginicus,Broomsedge bluestem,non-widely spread,1619462
Lespedeza cuneata,Chinese bushclover,non-widely spread,164566
Triadica sebifera,Chinese tallow,non-widely spread,79388
Asclepias syriaca,Common milkweed,non-widely spread,47911
Pennisetum setaceum,Crimson fountain-grass,non-widely spread,430581
Baccharis halimifolia,Eastern baccharis,non-widely spread,84813
Cabomba caroliniana,Fanwort,non-widely spread,75921
Ludwigia peploides,Floating primrose-willow,non-widely spread,60220
Acacia saligna,Golden wreath wattle,non-widely spread,75255
Humulus scandens,Japanese hop,non-widely spread,474366
Microstegium vimineum,Japanese stiltgrass,non-widely spread,116710
Pueraria lobata,Kudzu vine,non-widely spread,62666
Prosopis juliflora,Mesquite,non-widely spread,1493168
Solanum elaeagnifolium,Silverleaf nightshade,non-widely spread,79137
Cortaderia selloana,Pampas grass,non-widely spread,64240
Cortaderia jubata,Andean pampas grass,non-widely spread,52714
Ludwigia grandiflora,Floating water primrose,non-widely spread,70020
Miconia calvescens,Velvet tree,non-widely spread,48888
Salvinia molesta,Giant salvinia,non-widely spread,78976
Eichhornia crassipes,Water hyacinth,non-widely spread,962637
Azolla filiculoides,Water fern,non-widely spread,58754
Acer pseudoplatanus,Sycamore Maple,TEST,1466281
